Scope  ;CO2e emission source                                                                            ;Sub category                       ;Source                             ;emission type                           ;year ;quantity     ;quantity_unit ;emission_factor ;emission_factor_unit   ;emission_value_tCO2e;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Vestes                                  ;2022;14,00;nb            ;38,70;kgCO2e/Unit            ;0,54;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Doudounes                               ;2022;25,00;nb            ;85,80;kgCO2e/Unit            ;2,15;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Pantalons                               ;2022;103,00;nb            ;23,20;kgCO2e/Unit            ;2,39;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;T-shirt                                 ;2022;170,00;nb            ;5,50;kgCO2e/Unit            ;0,94;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Chemises                                ;2022;28,00;nb            ;11,20;kgCO2e/Unit            ;0,31;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Pullovers                               ;2022;28,00;nb            ;8,10;kgCO2e/Unit            ;0,23;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Sweat                                   ;2022;12,00;nb            ;27,40;kgCO2e/Unit            ;0,33;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Vêtement                           ;Ensemble de pluie                       ;2022;6,00;nb            ;38,70;kgCO2e/Unit            ;0,23;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Eau potable                        ;Eau potable                             ;2022;7145,36;m3            ;0,13;kgCO2e/m3              ;0,94;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Ramette de papier                  ;A4                                      ;2022;38,00;nb            ;2,29;kgCO2e/Unit            ;0,09;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de biens                     ;Ramette de papier                  ;A3                                      ;2022;2,00;nb            ;4,58;kgCO2e/Unit            ;0,01;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Lessive liquide + Lessive poudre        ;2022;64,04;kg            ;1,20;kgCO2e/kg              ;0,08;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Détergent sanitaire                     ;2022;40,18;kg            ;0,55;kgCO2e/kg              ;0,02;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Désinfectant                            ;2022;7,07;kg            ;4,18;kgCO2e/kg              ;0,03;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Produit vitre                           ;2022;20,30;kg            ;0,22;kgCO2e/kg              ;0,00;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Nettoyant sols                          ;2022;30,30;kg            ;0,54;kgCO2e/kg              ;0,02;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Nettoyant multi usages                  ;2022;20,00;kg            ;0,64;kgCO2e/kg              ;0,01;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Décapant sol                            ;2022;10,60;kg            ;0,54;kgCO2e/kg              ;0,01;
scope3 ;Categorie 1 : Biens et services achetés                                                         ;Achat de services                  ;Produits d'entretien               ;Produit technique : Chlore              ;2022;5,00;kg            ;1,25;kgCO2e/kg              ;0,01;
scope3 ;Categorie 3 : Activités liées aux combustibles et à l'énergie (hors champ d'application 1 ou 2) ;Amont / Production des carburants  ;Véhicules                          ;Gasoil routier                          ;2022;4908,00;L             ;0,61;kgCO2e/L               ;2,99;
scope3 ;Categorie 3 : Activités liées aux combustibles et à l'énergie (hors champ d'application 1 ou 2) ;Amont / Production des carburants  ;Véhicules                          ;Gasoil non routier                      ;2022;3529,00;L             ;0,59;kgCO2e/L               ;2,08;
scope3 ;Categorie 3 : Activités liées aux combustibles et à l'énergie (hors champ d'application 1 ou 2) ;Amont / Production des carburants  ;Véhicules                          ;Essence                                 ;2022;217,51;L             ;0,49;kgCO2e/L               ;0,11;
scope3 ;Categorie 3 : Activités liées aux combustibles et à l'énergie (hors champ d'application 1 ou 2) ;Amont / Production des carburants  ;Electricité                        ;Electricité renouvelable                ;2022;1890719,00;kWh           ;0,02;kgCO2e/kWh             ;34,60;
