Scénario;Years;Parametre;Aéroport;Emission
Business As Usual;2022;AWAC;Secteur aéroportuaire wallon (SOWAER);102 301,85
Business As Usual;2023;AWAC;Secteur aéroportuaire wallon (SOWAER);105 412,78
Business As Usual;2024;AWAC;Secteur aéroportuaire wallon (SOWAER);108 624,47
Business As Usual;2025;AWAC;Secteur aéroportuaire wallon (SOWAER);111 995,46
Business As Usual;2026;AWAC;Secteur aéroportuaire wallon (SOWAER);115 505,16
Business As Usual;2027;AWAC;Secteur aéroportuaire wallon (SOWAER);119 144,04
Business As Usual;2028;AWAC;Secteur aéroportuaire wallon (SOWAER);122 918,20
Business As Usual;2029;AWAC;Secteur aéroportuaire wallon (SOWAER);126 832,18
Business As Usual;2030;AWAC;Secteur aéroportuaire wallon (SOWAER);130 891,20
Business As Usual;2031;AWAC;Secteur aéroportuaire wallon (SOWAER);135 100,71
Business As Usual;2032;AWAC;Secteur aéroportuaire wallon (SOWAER);139 467,31
Business As Usual;2033;AWAC;Secteur aéroportuaire wallon (SOWAER);143 997,78
Business As Usual;2034;AWAC;Secteur aéroportuaire wallon (SOWAER);148 698,01
Business As Usual;2035;AWAC;Secteur aéroportuaire wallon (SOWAER);153 576,30
Business As Usual;2036;AWAC;Secteur aéroportuaire wallon (SOWAER);158 638,73
Business As Usual;2037;AWAC;Secteur aéroportuaire wallon (SOWAER);163 893,92
Business As Usual;2038;AWAC;Secteur aéroportuaire wallon (SOWAER);169 350,13
Business As Usual;2039;AWAC;Secteur aéroportuaire wallon (SOWAER);175 014,47
Business As Usual;2040;AWAC;Secteur aéroportuaire wallon (SOWAER);180 895,42
Business As Usual;2041;AWAC;Secteur aéroportuaire wallon (SOWAER);186 986,86
Business As Usual;2042;AWAC;Secteur aéroportuaire wallon (SOWAER);193 296,70
Business As Usual;2043;AWAC;Secteur aéroportuaire wallon (SOWAER);199 833,18
Business As Usual;2044;AWAC;Secteur aéroportuaire wallon (SOWAER);206 604,82
Business As Usual;2045;AWAC;Secteur aéroportuaire wallon (SOWAER);213 620,52
Business As Usual;2046;AWAC;Secteur aéroportuaire wallon (SOWAER);220 889,49
Business As Usual;2047;AWAC;Secteur aéroportuaire wallon (SOWAER);228 421,32
Business As Usual;2048;AWAC;Secteur aéroportuaire wallon (SOWAER);236 225,97
Business As Usual;2049;AWAC;Secteur aéroportuaire wallon (SOWAER);244 288,55
Business As Usual;2050;AWAC;Secteur aéroportuaire wallon (SOWAER);246 669,02
S0: Référence;2022;AWAC;Secteur aéroportuaire wallon (SOWAER);102 301,85
S0: Référence;2023;AWAC;Secteur aéroportuaire wallon (SOWAER);100 998,78
S0: Référence;2024;AWAC;Secteur aéroportuaire wallon (SOWAER);98 929,57
S0: Référence;2025;AWAC;Secteur aéroportuaire wallon (SOWAER);96 435,23
S0: Référence;2026;AWAC;Secteur aéroportuaire wallon (SOWAER);93 881,57
S0: Référence;2027;AWAC;Secteur aéroportuaire wallon (SOWAER);91 506,96
S0: Référence;2028;AWAC;Secteur aéroportuaire wallon (SOWAER);89 486,00
S0: Référence;2029;AWAC;Secteur aéroportuaire wallon (SOWAER);87 850,31
S0: Référence;2030;AWAC;Secteur aéroportuaire wallon (SOWAER);86 634,42
S0: Référence;2031;AWAC;Secteur aéroportuaire wallon (SOWAER);85 885,78
S0: Référence;2032;AWAC;Secteur aéroportuaire wallon (SOWAER);85 801,37
S0: Référence;2033;AWAC;Secteur aéroportuaire wallon (SOWAER);86 342,36
S0: Référence;2034;AWAC;Secteur aéroportuaire wallon (SOWAER);87 425,37
S0: Référence;2035;AWAC;Secteur aéroportuaire wallon (SOWAER);88 984,92
S0: Référence;2036;AWAC;Secteur aéroportuaire wallon (SOWAER);90 966,06
S0: Référence;2037;AWAC;Secteur aéroportuaire wallon (SOWAER);93 326,91
S0: Référence;2038;AWAC;Secteur aéroportuaire wallon (SOWAER);95 029,13
S0: Référence;2039;AWAC;Secteur aéroportuaire wallon (SOWAER);95 999,14
S0: Référence;2040;AWAC;Secteur aéroportuaire wallon (SOWAER);96 197,47
S0: Référence;2041;AWAC;Secteur aéroportuaire wallon (SOWAER);95 601,30
S0: Référence;2042;AWAC;Secteur aéroportuaire wallon (SOWAER);94 230,05
S0: Référence;2043;AWAC;Secteur aéroportuaire wallon (SOWAER);92 127,44
S0: Référence;2044;AWAC;Secteur aéroportuaire wallon (SOWAER);89 357,12
S0: Référence;2045;AWAC;Secteur aéroportuaire wallon (SOWAER);85 997,89
S0: Référence;2046;AWAC;Secteur aéroportuaire wallon (SOWAER);82 139,08
S0: Référence;2047;AWAC;Secteur aéroportuaire wallon (SOWAER);77 876,05
S0: Référence;2048;AWAC;Secteur aéroportuaire wallon (SOWAER);73 306,11
S0: Référence;2049;AWAC;Secteur aéroportuaire wallon (SOWAER);68 524,93
S0: Référence;2050;AWAC;Secteur aéroportuaire wallon (SOWAER);60 670,04
S1: Rupture technologique;2022;AWAC;Secteur aéroportuaire wallon (SOWAER);102 301,85
S1: Rupture technologique;2023;AWAC;Secteur aéroportuaire wallon (SOWAER);100 908,52
S1: Rupture technologique;2024;AWAC;Secteur aéroportuaire wallon (SOWAER);98 409,21
S1: Rupture technologique;2025;AWAC;Secteur aéroportuaire wallon (SOWAER);93 417,98
S1: Rupture technologique;2026;AWAC;Secteur aéroportuaire wallon (SOWAER);88 294,50
S1: Rupture technologique;2027;AWAC;Secteur aéroportuaire wallon (SOWAER);83 319,73
S1: Rupture technologique;2028;AWAC;Secteur aéroportuaire wallon (SOWAER);78 664,95
S1: Rupture technologique;2029;AWAC;Secteur aéroportuaire wallon (SOWAER);74 370,58
S1: Rupture technologique;2030;AWAC;Secteur aéroportuaire wallon (SOWAER);67 614,73
S1: Rupture technologique;2031;AWAC;Secteur aéroportuaire wallon (SOWAER);61 631,02
S1: Rupture technologique;2032;AWAC;Secteur aéroportuaire wallon (SOWAER);56 455,51
S1: Rupture technologique;2033;AWAC;Secteur aéroportuaire wallon (SOWAER);51 944,77
S1: Rupture technologique;2034;AWAC;Secteur aéroportuaire wallon (SOWAER);47 951,08
S1: Rupture technologique;2035;AWAC;Secteur aéroportuaire wallon (SOWAER);37 712,29
S1: Rupture technologique;2036;AWAC;Secteur aéroportuaire wallon (SOWAER);29 669,59
S1: Rupture technologique;2037;AWAC;Secteur aéroportuaire wallon (SOWAER);23 348,70
S1: Rupture technologique;2038;AWAC;Secteur aéroportuaire wallon (SOWAER);18 170,30
S1: Rupture technologique;2039;AWAC;Secteur aéroportuaire wallon (SOWAER);13 977,82
S1: Rupture technologique;2040;AWAC;Secteur aéroportuaire wallon (SOWAER);8 742,69
S1: Rupture technologique;2041;AWAC;Secteur aéroportuaire wallon (SOWAER);5 397,10
S1: Rupture technologique;2042;AWAC;Secteur aéroportuaire wallon (SOWAER);3 287,92
S1: Rupture technologique;2043;AWAC;Secteur aéroportuaire wallon (SOWAER);1 976,46
S1: Rupture technologique;2044;AWAC;Secteur aéroportuaire wallon (SOWAER);1 172,30
S1: Rupture technologique;2045;AWAC;Secteur aéroportuaire wallon (SOWAER);599,56
S1: Rupture technologique;2046;AWAC;Secteur aéroportuaire wallon (SOWAER);302,33
S1: Rupture technologique;2047;AWAC;Secteur aéroportuaire wallon (SOWAER);150,32
S1: Rupture technologique;2048;AWAC;Secteur aéroportuaire wallon (SOWAER);73,70
S1: Rupture technologique;2049;AWAC;Secteur aéroportuaire wallon (SOWAER);35,63
S1: Rupture technologique;2050;AWAC;Secteur aéroportuaire wallon (SOWAER);6,64
S3: Tous leviers;2022;AWAC;Secteur aéroportuaire wallon (SOWAER);102 301,85
S3: Tous leviers;2023;AWAC;Secteur aéroportuaire wallon (SOWAER);100 322,95
S3: Tous leviers;2024;AWAC;Secteur aéroportuaire wallon (SOWAER);97 319,60
S3: Tous leviers;2025;AWAC;Secteur aéroportuaire wallon (SOWAER);91 985,48
S3: Tous leviers;2026;AWAC;Secteur aéroportuaire wallon (SOWAER);86 618,56
S3: Tous leviers;2027;AWAC;Secteur aéroportuaire wallon (SOWAER);81 450,82
S3: Tous leviers;2028;AWAC;Secteur aéroportuaire wallon (SOWAER);76 612,18
S3: Tous leviers;2029;AWAC;Secteur aéroportuaire wallon (SOWAER);72 119,03
S3: Tous leviers;2030;AWAC;Secteur aéroportuaire wallon (SOWAER);65 242,13
S3: Tous leviers;2031;AWAC;Secteur aéroportuaire wallon (SOWAER);59 126,61
S3: Tous leviers;2032;AWAC;Secteur aéroportuaire wallon (SOWAER);53 716,18
S3: Tous leviers;2033;AWAC;Secteur aéroportuaire wallon (SOWAER);48 979,66
S3: Tous leviers;2034;AWAC;Secteur aéroportuaire wallon (SOWAER);44 853,11
S3: Tous leviers;2035;AWAC;Secteur aéroportuaire wallon (SOWAER);35 106,55
S3: Tous leviers;2036;AWAC;Secteur aéroportuaire wallon (SOWAER);27 532,30
S3: Tous leviers;2037;AWAC;Secteur aéroportuaire wallon (SOWAER);21 594,85
S3: Tous leviers;2038;AWAC;Secteur aéroportuaire wallon (SOWAER);16 763,09
S3: Tous leviers;2039;AWAC;Secteur aéroportuaire wallon (SOWAER);12 874,63
S3: Tous leviers;2040;AWAC;Secteur aéroportuaire wallon (SOWAER);8 059,08
S3: Tous leviers;2041;AWAC;Secteur aéroportuaire wallon (SOWAER);4 986,31
S3: Tous leviers;2042;AWAC;Secteur aéroportuaire wallon (SOWAER);3 049,01
S3: Tous leviers;2043;AWAC;Secteur aéroportuaire wallon (SOWAER);1 842,43
S3: Tous leviers;2044;AWAC;Secteur aéroportuaire wallon (SOWAER);1 100,18
S3: Tous leviers;2045;AWAC;Secteur aéroportuaire wallon (SOWAER);568,76
S3: Tous leviers;2046;AWAC;Secteur aéroportuaire wallon (SOWAER);290,53
S3: Tous leviers;2047;AWAC;Secteur aéroportuaire wallon (SOWAER);146,67
S3: Tous leviers;2048;AWAC;Secteur aéroportuaire wallon (SOWAER);73,18
S3: Tous leviers;2049;AWAC;Secteur aéroportuaire wallon (SOWAER);36,10
S3: Tous leviers;2050;AWAC;Secteur aéroportuaire wallon (SOWAER);8,87
S2: Sobriété;2022;AWAC;Secteur aéroportuaire wallon (SOWAER);102 301,85
S2: Sobriété;2023;AWAC;Secteur aéroportuaire wallon (SOWAER);98 981,97
S2: Sobriété;2024;AWAC;Secteur aéroportuaire wallon (SOWAER);94 769,87
S2: Sobriété;2025;AWAC;Secteur aéroportuaire wallon (SOWAER);88 347,79
S2: Sobriété;2026;AWAC;Secteur aéroportuaire wallon (SOWAER);82 011,44
S2: Sobriété;2027;AWAC;Secteur aéroportuaire wallon (SOWAER);75 965,96
S2: Sobriété;2028;AWAC;Secteur aéroportuaire wallon (SOWAER);70 313,82
S2: Sobriété;2029;AWAC;Secteur aéroportuaire wallon (SOWAER);65 056,91
S2: Sobriété;2030;AWAC;Secteur aéroportuaire wallon (SOWAER);57 710,51
